id,title,wage,vessel_type,vessel_name,start_date,contract_duration,trading_region,info_text
472011,Chief Officer,$ 7 400 - $ 7 600 per month,RO-RO,,05/01/2025,4 months,Germany,"
Information about vacancy Chief Officer (for RO-RO):
We look for  a  Chief Mate able  to join a Vehicles Carrier  (2012 year built ;  flag  Germany; GRT 47053 /  DWT 12086; ME: MAN-B&W  1 x 9S50MC-C, 2 Stroke, 14220 kW  / 19334 hp)  at the middle of December – mid of January in Europe.  Trading area of the vessel: Europe.  International crew: Russian  & German officers / Filipino ratings.  Conditions of employment:  4 months contract;  monthly salary  7400 – 7600USD.  Requirements:-   rank and Ro-Ro  / Car Carrier vessel  experience -   good English knowledgeIf interested, and can meet the above requirements, please apply  with your latest CV
"
466402,Wiper,$ 1 200 - $ 1 500 per month,Chemical tanker,,20/11/2024,6 months,,"
Information about vacancy Wiper (for Chemical tanker):
Wiper on Chemical / Oil Products TankerDuration: 6 months +/- 1Embarkation: Apply via Maritime ZoneVISA: USA C1/DSalary: 1200-1500 USD per monthYear of build: 2019DWT: 49800Engine: MAN 6S50ME – 7180 KWEnglish: GoodCrew: MixedSailing area: WWMore vacancies on Telegram @tridentmaritime_vacanciesAnd contact us on LinkedIn [Apply on Telegram, WhatsApp, Viber +380687373735, +380957373735, +380667373735, +380977373735]
"
459711,Master,$ 7 500 - $ 7 800 per month,General cargo,,26/11/2024,4 months,,"
Information about vacancy Master (for General cargo):
Position: MASTERVessel: GCSalary: 7500-7800 USD p/m  Joining: end of November  Duration: 4 months Requirements:- Extensive Rank Experience on Similar Vessel- Good English- Al Valid Documents- Readiness as per Schedule
"
466052,3rd Officer,$ 3 550 per month,Container Ship,,31/01/2025,5 months,Liberia,
462292,3rd Engineer,$ 4 300 per month,Bulk Carrier,,01/12/2024,6 months,,"
Information about vacancy 3rd Engineer (for Bulk Carrier):
BULK  Carrier 35  000  DWT2010 Apply via Maritime Zone  Good English 3E - 4300 USDContract:  6-+1monthsEmbarkation:  DECEMBER ️Сайт ️Эл. Почта ️Instagram:  Тел.: +380634255373 Тел.: +380636357053Тел.: +380636389279Тел.: +380930978624
"
452624,2nd Engineer,$ 8 200 per month,Container Ship,,30/11/2024,4 months,Liberia,
461847,2nd Officer,$ 4 000 per month,Container Ship,,05/12/2024,4 months,Germany,
462768,Master,$ 7 500 per month,General cargo,,05/12/2024,4 months,,
471514,Chief Officer,$ 8 000 - $ 8 400 per month,Bulk Carrier,,01/12/2024,4 months,Liberia,"
Information about vacancy Chief Officer (for Bulk Carrier):
Minimum sea time in rank 12 months, maximum age 50.
"
468735,Master,$ 250 - $ 260 per day,AHTS,,20/11/2024,3 months,,"
Information about vacancy Master (for AHTS):
MASTER Contract: 3 monthsVessel : AHTS non DPSailing Area: QatarSalary: 250-260 USD pdJoining: ASAPEmail: Apply via Maritime ZoneMessengers: +380735343111                         +380735343112                         +380735343113
"
470755,Chief Officer,Salary Negotiable,Heavy lift vessel,,09/12/2024,4 months,,"
Information about vacancy Chief Officer (for Heavy lift vessel):
Rank: CHIEF OFFICERContract: 4+/-1 monthsEmbarkation: Apply via Maritime ZoneType: HEAVY-LIFTDwt: 32190
"
472768,2nd Engineer,$ 4 000 - $ 5 000 per month,General cargo,Worldwide,30/11/2024,6 months,Malta,
456237,Chief Officer,Salary Negotiable,Bulk Carrier,Worldwide,22/12/2024,4 months,Azerbaijan,"
Information about vacancy Chief Officer (for Bulk Carrier):
Work experience : Minimum 2 contracts, according to the mentioned criterias.Additionally, Azerbaijani citizenship is desirable. 
"
464716,ETO,$ 6 000 - $ 7 000 per month,Bulk Carrier,,20/11/2024,5 months,,"
Information about vacancy ETO (for Bulk Carrier):
ETOBulker Vessels5500-7000 USD4(5)+/-1 mExperience in rankApply via Maritime Zone
"
464203,Deckhand,$ 2 000 per month,Cruise Liner,,04/01/2025,1 month,Panama,"
Information about vacancy Deckhand (for Cruise Liner):
Chesva Marine Contractors Ltd обьявляет набор для работы на пассажирских судах иностранных судовладельцев, судостроительных и судоремонтных заводах! На начало 2025 года нам необходимы:√ Сварщики, √ Слесаря,√ Изоляционщики,  Трубопроводчики, Плотники, Плиточники, Электрики, Маляра, Разнорабочие.- Опыт на судоремонте приветствуется, а также навыки работы с инструментом.- Возрастной ценз: до 60 лет.- Начисление заработной платы начинается и включает день вылета и продолжается до дня возвращения с проекта- Заработная плата перечисляется на карту в течение двух недель после окончания контракта - Необходимые документы:√ Биометрический загранпаспорт, если есть морские документы (паспорт моряка, сертификат НБЖС - это +, но не обязательно).- Работа по всему миру.- Контракты по длительности могут быть:√ До месяца, √ От месяца до 2,√ А также 2+- 12ти часовой рабочий день, куда входит время на обед и 2 кофе тайма.- Проживание на судне или на заводе. - Компания предоставляет со своей стороны:√ Питание (завтрак, обед, ужин)√ Перелёт, √ Страховку,√ Спецодежду.- На каждом проекте есть супервайзер, который распределяет и курирует работу на судне.- Заработная плата обсуждается в каждом конкретном случае, в зависимости от вашего опыта и квалификации.Сварщики, слесари, трубопроводчики - от 3000$Изоляционщики, плотники, плиточники, электрики, маляра - от 2700$Разнорабочий - 2000$Телефон для связи (Viber, WatsApp): +380504944403 Наталья
"
471902,2nd Engineer,Salary Negotiable,Bulk Carrier,,20/12/2024,4 months,,"
Information about vacancy 2nd Engineer (for Bulk Carrier):
Rank: 2ND ENGINEERContract: 4+/-1 monthsEmbarkation: Apply via Maritime ZoneType: BULKDwt: 79471Engine Model: MAN B&W 
"
473895,3rd Officer,$ 4 320 per month,Chemical tanker,,03/12/2024,4 months,,"
Information about vacancy 3rd Officer (for Chemical tanker):
1.	SB and CV dates must match.2.	Valid CES test is mandatory (we don't provide links).3.	All candidates, except  Indonesian, will need to pass CES and Marlins tests after the interview.4.	English proficiency is an advantage.5.	Minimum 12 months of experience in rank.6.	Age: up to 45 years.	7.	Visa – better to have. Send your CV via WhatsApp: +380961576853 Email: Apply via Maritime ZoneJoin our team – we are waiting for you!
"
471001,Master,$ 9 200 - $ 9 400 per month,Bulk Carrier,,22/11/2024,6 months,,"
Information about vacancy Master (for Bulk Carrier):
Master(vaccinated with two doses and booster, USCG-AMSA experience, USA Visa and MCV, AMSA grain stability calculations, Cargo Cranes, max 55 years old)
"
473196,3rd Officer,$ 3 519 - $ 3 719 per month,RO-RO,,12/01/2025,5 months,United Kingdom,
452331,Oiler,$ 1 600 - $ 1 800 per month,Bunkering Vessel,Mediterranean Region,30/11/2024,4 months,Cyprus,"
Information about vacancy Oiler (for Bunkering Vessel):
Contract: flexible. From 4 up to 6. Experience:  2 years in rank or 2 continuously contracts, Welding skills -1800 USD, without ones-1600 USDNationalities: UKR/GEOEnglish: Able communicating in English since that is the official language on board.STCW: All necessary certificates / documents, as per STCW /MLC for working on board an Oil Tanker VesselAge: Young age will be considered as advantage
"
474014,Deck Fitter,$ 1 930 per month,Chemical tanker,,24/11/2024,4 months,,
466479,Chief Engineer,Salary Negotiable,Heavy lift vessel,,05/01/2025,4 months,,"
Information about vacancy Chief Engineer (for Heavy lift vessel):
Rank: CHIEF ENGINEERContract: 4+/-1 monthsEmbarkation: Apply via Maritime ZoneType: HEAVY LIFTDwt: 32279Engine Model: SULZER WARTSILA 7RT-flex50Follow the link to apply:
"
468934,3rd Engineer,$ 3 780 per month,Bulk Carrier,Worldwide,15/12/2024,6 months,Liberia,"
Information about vacancy 3rd Engineer (for Bulk Carrier):
US visa, Schengen visa
"
469333,Cook,$ 3 000 per month,General cargo,,27/12/2024,6 months,,"
Information about vacancy Cook (for General cargo):
EU only
"
470112,Chief Engineer,$ 1 per month,Research vessel,,27/11/2024,1 week,Bahamas,"
Information about vacancy Chief Engineer (for Research vessel):
зарплата на ожидание кандидата 
"
471703,2nd Engineer,$ 13 000 per month,LPG / LNG,North Sea,24/11/2024,3 months,Isle of Man,"
Information about vacancy 2nd Engineer (for LPG / LNG):
MIN 21 MONTHS IN RANK // 24 MONTHS GAS TIME
"
467287,2nd Engineer,Salary Negotiable,Container Ship,,01/12/2024,5 months,Cyprus,"
Information about vacancy 2nd Engineer (for Container Ship):
We are looking for 2E candidates for Container Ship ( Apply via Maritime Zone -  DWT ). Variery of engines - Sulzer, Wartsila, MAN-MC, MAN-ME, WinGD as well as Dual Fuel powered engines.We need to highlight that the final wage depends on seafarer's experience. Please mention in CV Your full Sea Service in rankWe offer the following bonuses:- Re-joining bonus- Loyalty bonus- Medical insuranceIn case of interest please apply for this vacancy here or send Your CV directly to the crewing department 
"
471353,2nd ETO,$ 1 450 per month,RO-RO,,28/11/2024,6 months,,
473944,OS,$ 1 200 per month,General cargo,,15/12/2024,6 months,Germany,
457518,HSE Manager,$ 1 500 per month,Power Station Vessel,Black Sea,30/11/2024,4 months,Liberia,"
Information about vacancy HSE Manager (for Power Station Vessel):
• Duration - 4(+-1) months• Верификация на руках• Обновленные данные в РЕЗЕРВ+• Type of vessel - Power Station 3310 dwt• Location – Ukraine• Тема письма для Application Form - ""Power Station Vessel"" !!Наши контакты:Apply via Maritime ZoneOffice - +380 (48) 737 55 33 WhatsApp / Viber / Telegram - +380 (63) 73 755 33
"
471580,Chief Engineer,$ 9 400 per month,Container Ship,,25/11/2024,4 months,,
473047,3rd Officer,$ 3 200 per month,Bulk Carrier,,20/12/2024,6 months,,"
Information about vacancy 3rd Officer (for Bulk Carrier):
Please send your CV: Apply via Maritime Zone
"
467454,Chief Officer,$ 9 000 - $ 10 500 per month,Crude Oil Tanker,,26/11/2024,4 months,Liberia,"
Information about vacancy Chief Officer (for Crude Oil Tanker):
FOR UKRAINIANS ONLYPlease contact me via WA +380666990553 Daryna
"
473102,ETO,Salary Negotiable,Platform Supply vessel,,29/11/2024,3 months,,"
Information about vacancy ETO (for Platform Supply vessel):
VSL’s type – PSV DP2; Contract Duration: 90 +/-30 days; Area of sailing – Congo/Cameroon; Join date – ASAP; Comments: The candidate must hold Electro Technical Officer’s License and DP Maintenance Certificate; Minimum obligatory experience – 12 months on similar types of vessels actual on board in the rank of ETO; Please apply with: 1. Updated CV with details of sea service; 2. COC and Endorsement and all valid STCW certificates; 3. Passport copy; 4. Seaman’s book and DP Log Book copies of all pages with details of sea service evidence of each vessel as detailed on CV; 5. References from previous employers; 6. Medical certificate; Candidates must be fully vaccinated against Covid-19. Apply via Navis Telegram Channel (NTC) Apply via Maritime Zone or get hired faster please fill in application form online on our website: 
"
467511,AB Seaman,$ 1 600 - $ 1 800 per month,Oil Products Tanker,,30/11/2024,6 months,,"
Information about vacancy AB Seaman (for Oil Products Tanker):
Looking for experienced AB to work on our good vessel.Travel covered | Insurance during employment | Stable job in stable company | Growth posibilities
"
462343,Chief Engineer,$ 9 500 per month,Bulk Carrier,,12/12/2024,4 months,Marshall Islands,
471095,ETO,Salary Negotiable,Construction vessel,,30/11/2024,5 weeks,Denmark,"
Information about vacancy ETO (for Construction vessel):
Previous good experiences on board of OSV mandatory, good English,HUET, CA EBS  DP K-Pos  cert. - preferably.Employment directly with DOF/MSS.  Permanent contract 6883 USD paid on/off. 
"
472713,2nd Engineer,$ 7 500 per month,Cement Carrier,,07/12/2024,4 months,,"
Information about vacancy 2nd Engineer (for Cement Carrier):
Free of charge employment service;Re-joining Bonus;Loyalty Bonus
"
473801,3rd Officer,$ 3 400 per month,RO-RO,,14/12/2024,4 months,Germany,
466750,Pumpman,$ 2 400 - $ 2 800 per month,Power Station Vessel,Black Sea,25/11/2024,4 months,Liberia,"
Information about vacancy Pumpman (for Power Station Vessel):
 Mechanical Maintenance Technician (FITTER/PUMPMAN) ПОСАДКА В УКРАИНЕ• Duration - 4(+-1) months• Type of vessel - Power Station 3310 dwt• Location – port of Ukraine• Верификация на руках• Обновленные данные в РЕЗЕРВ+ - ВЫДАЕТСЯ БРОНЬ НА ПЕРИОД РАБОТЫ• Тема письма для Application Form - ""Power Station Vessel"" !!Наши контакты:Apply via Maritime ZoneOffice - +380 (48) 737 55 33 WhatsApp / Viber / Telegram - +380 (63) 73 755 33
"
472197,Master,Salary Negotiable,Container Ship,,20/11/2024,4 months,Liberia,
468963,ETO,$ 7 000 per month,LPG / LNG,,21/11/2024,6 months,United Arab Emirates,"
Information about vacancy ETO (for LPG / LNG):
START ASAP
"
464413,3rd Engineer,$ 2 900 per month,AHTS,,20/11/2024,4 months,Malta,
415550,Electrician,$ 3 950 per month,Chemical tanker,,20/11/2024,2 months,Cyprus,
474043,3rd Engineer,$ 3 750 per month,Bulk Carrier,,25/11/2024,4 months,,"
Information about vacancy 3rd Engineer (for Bulk Carrier):
GOOD ENGLISHEXPERIENCE SAME DWT VESSEL(50000)WhatsApp:+380953815766(Yevhen)Apply via Maritime Zone
"
471611,Deck Fitter,$ 2 500 - $ 3 000 per month,General cargo,,18/12/2024,4 months,,"
Information about vacancy Deck Fitter (for General cargo):
Requirements: • Good English• Similar experience on rank and vessel type • Salary 2500-3000 USD• Contract Duration (2/3 +-1 month)• USA VISA• Schengen VisaI will answer all your questions via WhatsApp or TelegramPlease send your CV`s to my WhatsApp or e-mail: Tel: + 380632835158 (Dmytro)e-mail: Apply via Maritime Zone
"
473339,3rd Engineer,$ 3 900 - $ 4 200 per month,Container Ship,,06/12/2024,6 months,,"
Information about vacancy 3rd Engineer (for Container Ship):
Возможен старт в должности и переход с другого типа судна!Отправляйте анкету на WhatsApp +380639490001 Марк.
"
468125,ETO,$ 5 000 per month,General cargo,,19/11/2024,3 months,West Africa,"
Information about vacancy ETO (for General cargo):
We look for a fly ETO to work on 4 bulker vessels (DWT 7358, 2022 Apply via Maritime Zone., flag - Guinea, Guangzhou, 6320ZC, 4 Stroke, 2648kW/ 3600hp) and join on 19 November in Guinea. The proposed conditions: 3 months contract (+-2),monthly wages 5000 USD. Wage can be paid in Rubles. Russian officers, Indonesian ratings. Trading area - Guinea. Requirements: rank experience, good English knowledge. 
"
433527,Oiler,$ 1 600 per month,Oil Products Tanker,,29/11/2024,4 months,Liberia,
473769,2nd Engineer,Salary Negotiable,Container Ship,,25/11/2024,5 months,Liberia,
472178,El. Eng. Assistant,$ 1 691 per month,Ferry,,20/11/2024,6 months,Italy,
472482,Boatswain,$ 3 000 per month,Passenger vessel,,05/12/2024,3 months,Bahamas,
445821,ETO,$ 5 000 - $ 7 500 per month,Crude Oil Tanker,,25/11/2024,4 months,Worldwide,
471187,Wiper,$ 1 200 per month,Container Ship,,10/12/2024,6 months,,"
Information about vacancy Wiper (for Container Ship):
WiperContainer Vessels 1000-20000 TEUs1200 USD6+/-1 mExperience in rankApply via Maritime Zone
"
473010,Chief Officer,Salary Negotiable,Heavy lift vessel,,10/01/2025,4 months,,"
Information about vacancy Chief Officer (for Heavy lift vessel):
Rank: CHIEF OFFICERContract: 4+/-1 monthsEmbarkation: Apply via Maritime ZoneType: HEAVY LIFTDwt: 25733Engine Model: MAN B&W 6S40ME-B9
"
472251,Fitter / Welder,$ 3 300 per month,Bulk Carrier,,24/11/2024,5 months,Cyprus,"
Information about vacancy Fitter / Welder (for Bulk Carrier):
Fitter to Bulk carrier CapesizeYOB: 2014DWT: 175877 tBuilder: KoreaSalary: 3300$ or equivalent in EuroContract: 4+2 months Joining: NovemberRequirements: min 12 months in rank, Good English, experience on same type of vessel
"
471884,Master,$ 9 500 per month,Container Ship,,15/12/2024,4 months,,"
Information about vacancy Master (for Container Ship):
Mixed crew, mandatory to have experience in ranks with similar type/size vessel
"
473913,Chief Engineer,$ 7 800 per month,Reefer,,16/01/2025,6 months,Panama,
464690,Chief Engineer,$ 9 500 - $ 11 500 per month,Container Ship,,20/11/2024,6 months,,"
Information about vacancy Chief Engineer (for Container Ship):
Ch EngContainer Vessels 10 000 – 25000 TEUsSalary: 9500-11500 USD or more (upon experience)Good EnglishExperience in rankApply via Maritime Zone
"
472744,ETO,$ 6 000 per month,Container Ship,,01/12/2024,4 months,,"
Information about vacancy ETO (for Container Ship):
Free of charge employment service;Now Hiring
"
473856,ETO,Salary Negotiable,Crude Oil Tanker,,07/12/2024,5 months,,"
Information about vacancy ETO (for Crude Oil Tanker):
NOTE: You should not have sailed on more than 2 Companies in the last 5 completed contractsAge Limit 50 Years maxCompany consider FEMALE/MALE candidatesI will answer all your questions via WhatsApp or TelegramPlease send your CV`s to my WhatsApp: Tel: +380961936820
"
468719,Chief Engineer,Salary Negotiable,Container Ship,,01/12/2024,4 months,,"
Information about vacancy Chief Engineer (for Container Ship):
Rank: CHIEF ENGINEERContract: 4+/-1 months2Embarkation: Apply via Maritime ZoneType: CONTDwt: 139335Engine Model: WARTSILA W9X82 flex
"
473505,Chief Engineer,$ 6 500 per month,Oil Products Tanker,,21/11/2024,4 months,,
465081,ETO,$ 6 000 per month,Bulk Carrier,,26/11/2024,4 months,Malta,
473155,2nd Officer,$ 4 000 per month,Bulk Carrier,,22/11/2024,4 months,,"
Information about vacancy 2nd Officer (for Bulk Carrier):
URGENTLY LOOKING FOR 2ND/OFFICER TO JOIN BULK CARRIER  WAGES: 4000 USD CONTRACT: 4+/-1 MONTHS JOINING: MID NOV VESSEL: BULK DWT: 55304  ME: Wartsila 2-stroke 6RT-flex50-D – 8890KWCRANES: 4 x Crane (Centreline) SWL 30 tonsYEAR OF BUILD: 2012, BULGARIA CREW ONBOARD: EASTERN EUROPE, FILIPINOS  MINIMUM REQUIREMENTS: - GOOD ENGLISH - EXPERIENCE MIN. 1 CONTR.
"
471168,3rd Officer,$ 2 500 per month,Bulk Carrier,,30/11/2024,5 months,,"
Information about vacancy 3rd Officer (for Bulk Carrier):
3/OSmall Cargo ship Dw 2000 tonesSalary Apply via Maritime Zone usdCrew mixGood EnglishExperience in rank
"
471607,Cook,$ 2 200 - $ 2 500 per month,General cargo,,28/11/2024,4 months,,"
Information about vacancy Cook (for General cargo):
Requirements: • Italian food experience• Good English• Similar experience on rank and vessel type • Salary 2200- 2500 USD• Contract Duration (4 month)I will answer all your questions via WhatsApp or TelegramPlease send your CV`s to my WhatsApp or e-mail: Tel: + 380632835158 (Dmytro)e-mail: Apply via Maritime Zone
"
465644,2nd Officer,$ 3 400 per month,General cargo,North Sea,06/12/2024,4 months,Netherlands,"
Information about vacancy 2nd Officer (for General cargo):
2OFF / BEG DEC / Dry cargo / DWT 4800 / Yob 2013Flag – NetherlandsRequired experience: Gantry crane, Pontoon hatched, Safety equipmentEnglish is a must / Final confirmation after interview with foreign office
"
474055,ETO,Salary Negotiable,Dredger,North Sea,03/12/2024,3 weeks,Netherlands,"
Information about vacancy ETO (for Dredger):
certificate ETO; 3 weeks on/off; preferably candidates whose location is in Central or Apply via Maritime Zone
"
470016,ETO,$ 6 000 per month,Bulk Carrier,,05/12/2024,5 months,,"
Information about vacancy ETO (for Bulk Carrier):
Good knowledge of EnglishMixed crew experienceRF citizenship onlyPlease fill our application form on Apply via Maritime Zone(use CSC-SPT)Contact details : 
"
469237,2nd Engineer,$ 12 650 per month,VLCC,,30/11/2024,3 months,,
472181,AB Seaman,$ 1 691 per month,Container Ship,,20/11/2024,6 months,Cyprus,
460850,Cook,$ 2 180 per month,Chemical tanker,,05/01/2025,3 months,Norway,"
Information about vacancy Cook (for Chemical tanker):
LADY COOKSalary: 2180 USDContract: 3 months (+/- 2 weeks)Embarkation: Apply via Maritime ZoneSailing Area: EuropeVessel type: Ch./Oil tankerFlag: NISBuilt: 2018GRT/DWT: 2996/ 3985
"
469372,ETO,$ 250 per day,Other vessels,,20/11/2024,2 months,,"
Information about vacancy ETO (for Other vessels):
VSL’s type – OSV DP2; Wages – 250 USD per day; Contract Duration: 60 +/-30 days; Area of sailing – UAE; Join date – ASAP; Comments: The candidate must hold Electro Technical Officer’s License and DP Maintenance Certificate; Minimum obligatory experience – 24 months actual on board in the rank of ETO (6 months on similar type of vessels) and 500 active DP hours; ADNOC approved candidates are preferable. Please apply with: 1. Updated CV with details of sea service; 2. COC and Endorsement and all valid STCW certificates; 3. Passport copy; 4. Seaman’s book and DP Log Book copies of all pages with details of sea service evidence of each vessel as detailed on CV; 5. References from previous employers; 6. Medical certificate; Candidates must be fully vaccinated against Covid-19. Apply via Navis Telegram Channel (NTC) Apply via Maritime Zone or get hired faster please fill in application form online on our website: 
"
472494,ETO,$ 6 500 - $ 7 000 per month,Crude Oil Tanker,,10/12/2024,5 months,Vietnam,
470153,AB Seaman,$ 1 770 - $ 1 970 per month,Chemical tanker,Worldwide,25/11/2024,6 months,Liberia,
468133,2nd Officer,$ 3 800 per month,Bulk Carrier,,05/12/2024,5 months,,"
Information about vacancy 2nd Officer (for Bulk Carrier):
GOOD ENGLISH, EXPERIENCE+380974841783 viber
"
471938,ETO,$ 250 per day,Other vessels,,27/11/2024,2 months,,"
Information about vacancy ETO (for Other vessels):
VSL’s type – OSV DP2; Wages – 250 USD per day; Contract Duration: 60 +/-30 days; Area of sailing – UAE; Join date – ASAP; Comments: The candidate must hold Electro Technical Officer’s License and DP Maintenance Certificate; Minimum obligatory experience – 24 months actual on board in the rank of ETO (6 months on similar type of vessels) and 500 active DP hours; ADNOC approved candidates are preferable. Please apply with: 1. Updated CV with details of sea service; 2. COC and Endorsement and all valid STCW certificates; 3. Passport copy; 4. Seaman’s book and DP Log Book copies of all pages with details of sea service evidence of each vessel as detailed on CV; 5. References from previous employers; 6. Medical certificate; Candidates must be fully vaccinated against Covid-19. Apply via Navis Telegram Channel (NTC) Apply via Maritime Zone or get hired faster please fill in application form online on our website: 
"
473905,Master,$ 10 000 per month,Bulk Carrier,,07/12/2024,4 months,,"
Information about vacancy Master (for Bulk Carrier):
We are inviting candidates from UKRAINIAN, RUSSIAN ,GEORGIAN, GREEK to join our team.Requirements: •	Candidates should have good English and be ready to pass CES test•	Candidates should have min  5-6 priority contracts in rank and SAME dwt, SAME type of vessel. •	Max age 55-57 years•	All candidates should have no more than 3 SHIPOWNERS (not agency) during last 5-7 contracts.•	All candidates should not be ashore for more than 1 year.•	 I am ready to answer all your questions via WhatsApp.•	 Please send your CV to my WhatsApp: +380961576853•	 Email: Apply via Maritime Zone•	Join our team – we are waiting for you!
"
461191,Chief Engineer,$ 7 500 per month,General cargo,,30/11/2024,4 months,,"
Information about vacancy Chief Engineer (for General cargo):
7500 euro2024 YOB Please forward your application forms to e-mail: Apply via Maritime Zone or send it to Telegram ️ @univisltd , WhatsApp/Viber +38 098 328 66 98
"
472247,2nd Engineer,$ 8 000 - $ 8 900 per month,Bulk Carrier,,24/11/2024,5 months,Cyprus,"
Information about vacancy 2nd Engineer (for Bulk Carrier):
2nd Engineer to Bulk carrier CapesizeYOB: 2014DWT: 175877 tBuilder: KoreaMain Engine: MAN B&W 6S70MCSalary: 8000$-8500R$ +400B or equivalent in EuroContract: 4+2 months Joining: NovemberRequirements: min 12 months in rank, Good English, experience on same type of vessel 
"
473006,Master,$ 8 140 per month,General cargo,,30/11/2024,5 months,Norway,
471191,ETO,$ 5 500 - $ 7 000 per month,Bulk Carrier,,10/12/2024,5 months,,"
Information about vacancy ETO (for Bulk Carrier):
ETOBulker Vessels5500-7000 USD5+/-1 mExperience in rankApply via Maritime Zone
"
469958,Oiler,$ 1 700 per month,Bulk Carrier,,05/12/2024,5 months,,"
Information about vacancy Oiler (for Bulk Carrier):
OILER for BulkerFree EmploymentJoining Date: 5/12/2024Duration: 5+/-3 monthsSalary: 1700 USDCrew: Ukrainian DWT: 630002019 yobE-mail for your application:Apply via Maritime ZoneTelephone+380 50 482 83 10Join our telegram
"
465078,2nd Engineer,$ 8 200 per month,Container Ship,,20/11/2024,4 months,,"
Information about vacancy 2nd Engineer (for Container Ship):
MAN B&W ME and scrubber experienceGood knowledge of EnglishMixed crew experienceRF citizenship onlyPlease fill our application form on Apply via Maritime Zone (use CSC-SPT)Contact details : 
"
473513,ETO,$ 7 200 per month,Chemical tanker,,01/12/2024,5 months,,
473840,Cook,$ 2 100 per month,Bulk Carrier,,22/11/2024,7 months,,"
Information about vacancy Cook (for Bulk Carrier):
Requirements:Good EnglishSimilar experience on rank and vessel typeI will answer all your questions via WhatsApp or TelegramPlease send your CV`s to my WhatsApp: Tel: +380961936820
"
464686,Master,$ 9 000 - $ 11 000 per month,Container Ship,,20/11/2024,6 months,,"
Information about vacancy Master (for Container Ship):
MasterContainer VesselsSalary: 9000-11000 USD or more (upon experience)Good EnglishExperience in rankApply via Maritime Zone
"
472302,Master,$ 12 500 - $ 13 000 per month,LPG / LNG,,25/11/2024,4 months,,"
Information about vacancy Master (for LPG / LNG):
Ammonia Carrier;Promotion Prospects;Internet Facility on board
"
468922,ETO,$ 6 500 per month,Oil Products Tanker,,29/11/2024,4 months,,
472586,Chief Officer,$ 8 200 - $ 8 400 per month,Container Ship,,28/11/2024,5 months,,"
Information about vacancy Chief Officer (for Container Ship):
Looking for good seafarer who will be ready to join Container fleet- good English- experience on Containers;- valid documents 
"
470041,Chief Officer,$ 6 000 per month,General cargo,,02/12/2024,3 months,,"
Information about vacancy Chief Officer (for General cargo):
Chief OfficerGeneral cargo vessel / DWT 6400Joining: Beginning of December / week 49Contract: 3 months +/-1mSalary: Apply via Maritime Zone EUROGood EnglishExperience in rank
"
474002,Chief Engineer,$ 12 800 per month,Crude Oil Tanker,,03/12/2024,4 months,,"
Information about vacancy Chief Engineer (for Crude Oil Tanker):
Requirements:1. Candidates should have good English and be ready to pass CES test2. ETO,3Eng, 2Off, 2Eng should have min 3 contracts in rank and SAME dwt, SAME type of vessel.Max age 40 years3. CEng, COff, MST should have min 4 ( for MST 5-6 priority ) contracts in rank and SAME dwt, SAMEtype of vessel. Max age 55-57 years4. All candidates should have no more than 2 SHIPOWNERS (not agency) during last 5-7contracts.5. All candidates should not be ashore for more than 1 yearPlease send your CV`s to my WhatsApp or Email; Apply via Maritime Zone I will answer all your questions via WhatsApp or Telegram: Tel. +380 93 545 0791
"
464901,,,,,,,,
471650,Cook,$ 2 379 per month,Oil Products Tanker,,11/12/2024,3 months,,
470942,3rd Officer,$ 3 800 per month,Chemical tanker,,25/11/2024,5 months,,"
Information about vacancy 3rd Officer (for Chemical tanker):
Please send your CV: Apply via Maritime Zone
"
473378,Ship Security Officer,$ 1 600 per month,Passenger vessel,,13/12/2024,6 months,,"
Information about vacancy Ship Security Officer (for Passenger vessel):
Requirements:  • USA VISA• Good English• Similar experience on rank and vessel type • Salary 1600 USD• Contract Duration (6 +/- 1 month) I will answer all your questions via WhatsApp or TelegramPlease send your CV`s to my WhatsApp or e-mail: Tel: + 380632835158 (Dmytro)e-mail: Apply via Maritime Zone
"
464844,Chief Officer,$ 7 500 per month,General cargo,,25/11/2024,4 months,,"
Information about vacancy Chief Officer (for General cargo):
Free of charge employment service;Re-joining Bonus;Loyalty Bonus
"
457627,Electrician,$ 2 011 per month,Passenger vessel,,01/01/2025,8 months,United States of America,
473682,Master,$ 9 800 per month,Bulk Carrier,Worldwide,25/11/2024,4 months,Bahamas,
471715,OS,Salary Negotiable,General cargo,,31/12/2024,6 months,,"
Information about vacancy OS (for General cargo):
Requirements: • Schengen Visa• ONLY with crane driver exp!!!• Good English• Similar experience on rank and vessel type  • Contract Duration (6 month)I will answer all your questions via WhatsApp or TelegramPlease send your CV`s to my WhatsApp or e-mail: Tel: + 380632835158 (Dmytro)e-mail: Apply via Maritime Zone
"
